,d_1883,d_1883,d_1883,d_1883,d_1883,d_1883,d_1883,d_1883,d_1884,d_1884,d_1884,d_1884,d_1884,d_1884,d_1884,d_1884,d_1885,d_1885,d_1885,d_1885,d_1885,d_1885,d_1885,d_1885,d_1886,d_1886,d_1886,d_1886,d_1886,d_1886,d_1886,d_1886,d_1887,d_1887,d_1887,d_1887,d_1887,d_1887,d_1887,d_1887,d_1888,d_1888,d_1888,d_1888,d_1888,d_1888,d_1888,d_1888,d_1889,d_1889,d_1889,d_1889,d_1889,d_1889,d_1889,d_1889,d_1890,d_1890,d_1890,d_1890,d_1890,d_1890,d_1890,d_1890,d_1891,d_1891,d_1891,d_1891,d_1891,d_1891,d_1891,d_1891,d_1892,d_1892,d_1892,d_1892,d_1892,d_1892,d_1892,d_1892,d_1893,d_1893,d_1893,d_1893,d_1893,d_1893,d_1893,d_1893,d_1894,d_1894,d_1894,d_1894,d_1894,d_1894,d_1894,d_1894,d_1895,d_1895,d_1895,d_1895,d_1895,d_1895,d_1895,d_1895,d_1896,d_1896,d_1896,d_1896,d_1896,d_1896,d_1896,d_1896,d_1897,d_1897,d_1897,d_1897,d_1897,d_1897,d_1897,d_1897,d_1898,d_1898,d_1898,d_1898,d_1898,d_1898,d_1898,d_1898,d_1899,d_1899,d_1899,d_1899,d_1899,d_1899,d_1899,d_1899,d_1900,d_1900,d_1900,d_1900,d_1900,d_1900,d_1900,d_1900,d_1901,d_1901,d_1901,d_1901,d_1901,d_1901,d_1901,d_1901,d_1902,d_1902,d_1902,d_1902,d_1902,d_1902,d_1902,d_1902,d_1903,d_1903,d_1903,d_1903,d_1903,d_1903,d_1903,d_1903,d_1904,d_1904,d_1904,d_1904,d_1904,d_1904,d_1904,d_1904,d_1905,d_1905,d_1905,d_1905,d_1905,d_1905,d_1905,d_1905,d_1906,d_1906,d_1906,d_1906,d_1906,d_1906,d_1906,d_1906,d_1907,d_1907,d_1907,d_1907,d_1907,d_1907,d_1907,d_1907,d_1908,d_1908,d_1908,d_1908,d_1908,d_1908,d_1908,d_1908,d_1909,d_1909,d_1909,d_1909,d_1909,d_1909,d_1909,d_1909,d_1910,d_1910,d_1910,d_1910,d_1910,d_1910,d_1910,d_1910,d_1911,d_1911,d_1911,d_1911,d_1911,d_1911,d_1911,d_1911,d_1912,d_1912,d_1912,d_1912,d_1912,d_1912,d_1912,d_1912,d_1913,d_1913,d_1913,d_1913,d_1913,d_1913,d_1913,d_1913,sum,sum,sum,sum,sum,sum,sum,sum
FOODS_1_057,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
FOODS_1_058,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
FOODS_1_060,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_068,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_071,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FOODS_1_074,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_077,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_079,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
FOODS_1_081,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_082,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_083,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
FOODS_1_084,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,,0,0,0,0,0
